Step,f1,esl,-esl,pesl,-pesl,COR_ESL,COR_PESL
67,0.497137904,0.083960138,-0.083960138,0.129280999,-0.129280999,,
68,0.493276983,0.084015399,-0.084015399,0.129542515,-0.129542515,,
69,0.493537277,0.084171399,-0.084171399,0.129709974,-0.129709974,,
70,0.494864315,0.084180705,-0.084180705,0.129444271,-0.129444271,,
71,0.491967291,0.08444491,-0.08444491,0.130121008,-0.130121008,,
72,0.489486486,0.085246131,-0.085246131,0.130968064,-0.130968064,,
73,0.481422663,0.085525408,-0.085525408,0.132003635,-0.132003635,,
74,0.483583242,0.085818551,-0.085818551,0.132388458,-0.132388458,,
75,0.480390817,0.086212926,-0.086212926,0.133138046,-0.133138046,,
76,0.481051028,0.085944086,-0.085944086,0.132651508,-0.132651508,,
77,0.475841254,0.087016858,-0.087016858,0.134205565,-0.134205565,,
78,0.47850582,0.086450055,-0.086450055,0.133294985,-0.133294985,,
79,0.476613492,0.087449811,-0.087449811,0.134581223,-0.134581223,,
80,0.477351636,0.0863958,-0.0863958,0.133229256,-0.133229256,,
81,0.47822395,0.087412469,-0.087412469,0.13449803,-0.13449803,,
82,0.487642616,0.086779125,-0.086779125,0.132821903,-0.132821903,,
83,0.478246629,0.087263539,-0.087263539,0.134440795,-0.134440795,,
84,0.488816381,0.086681992,-0.086681992,0.132644549,-0.132644549,,
85,0.482430339,0.087174639,-0.087174639,0.133870602,-0.133870602,,
86,0.491892874,0.086198471,-0.086198471,0.131805807,-0.131805807,,
87,0.481416345,0.087769568,-0.087769568,0.134591565,-0.134591565,,
88,0.492285579,0.086482078,-0.086482078,0.131997734,-0.131997734,,
89,0.482498854,0.088056311,-0.088056311,0.134729356,-0.134729356,,
90,0.492139757,0.087003127,-0.087003127,0.132621914,-0.132621914,,
91,0.484619826,0.088205062,-0.088205062,0.134683281,-0.134683281,,
92,0.494342506,0.086989321,-0.086989321,0.132321641,-0.132321641,,
93,0.480987966,0.088813268,-0.088813268,0.135566518,-0.135566518,,
94,0.490578234,0.087134145,-0.087134145,0.132993564,-0.132993564,,
95,0.472263724,0.08996281,-0.08996281,0.137701556,-0.137701556,,
96,0.48108843,0.088046715,-0.088046715,0.134754121,-0.134754121,,
97,0.465582281,0.089906842,-0.089906842,0.138275817,-0.138275817,,
98,0.485136241,0.08755172,-0.08755172,0.133995578,-0.133995578,,
99,0.465088993,0.089851931,-0.089851931,0.138094872,-0.138094872,,
