Step,f1,esl,-esl,pesl,-pesl,COR_ESL,COR_PESL
53,0.391229063,0.066925809,-0.066925809,0.110885188,-0.110885188,,
54,0.394919127,0.066622354,-0.066622354,0.110092506,-0.110092506,,
55,0.391977042,0.067469366,-0.067469366,0.111288965,-0.111288965,,
56,0.410927683,0.066654205,-0.066654205,0.109495364,-0.109495364,,
57,0.413363487,0.066739127,-0.066739127,0.109580286,-0.109580286,,
58,0.402942777,0.067641012,-0.067641012,0.111320831,-0.111320831,,
59,0.406989813,0.067183904,-0.067183904,0.110164858,-0.110164858,,
60,0.401795685,0.067733467,-0.067733467,0.111343399,-0.111343399,,
61,0.406722635,0.067528136,-0.067528136,0.11050909,-0.11050909,,
62,0.408637822,0.067840591,-0.067840591,0.110681765,-0.110681765,,
63,0.401315749,0.068597786,-0.068597786,0.111718506,-0.111718506,,
64,0.399999976,0.068953924,-0.068953924,0.111934878,-0.111934878,,
65,0.403489619,0.068854392,-0.068854392,0.111765452,-0.111765452,,
66,0.407367229,0.069145299,-0.069145299,0.112196133,-0.112196133,,
67,0.398268342,0.069984622,-0.069984622,0.113245115,-0.113245115,,
68,0.399999976,0.070052736,-0.070052736,0.113173455,-0.113173455,,
69,0.401075214,0.070517369,-0.070517369,0.113917634,-0.113917634,,
70,0.40150696,0.070951767,-0.070951767,0.114212275,-0.114212275,,
71,0.398063451,0.071559973,-0.071559973,0.115169898,-0.115169898,,
72,0.411544591,0.070743687,-0.070743687,0.113445081,-0.113445081,,
73,0.402770311,0.071338013,-0.071338013,0.114598513,-0.114598513,,
74,0.403630495,0.071489826,-0.071489826,0.114820205,-0.114820205,,
75,0.403846115,0.071645632,-0.071645632,0.114766344,-0.114766344,,
76,0.413240731,0.071124852,-0.071124852,0.113616578,-0.113616578,,
77,0.404072851,0.071844086,-0.071844086,0.114894912,-0.114894912,,
78,0.402133286,0.072204009,-0.072204009,0.115464501,-0.115464501,,
79,0.41232726,0.071390674,-0.071390674,0.113742627,-0.113742627,,
80,0.40746662,0.071420304,-0.071420304,0.114401236,-0.114401236,,
81,0.408315539,0.071397543,-0.071397543,0.114448369,-0.114448369,,
82,0.408271432,0.071193799,-0.071193799,0.114034966,-0.114034966,,
83,0.407427013,0.071361467,-0.071361467,0.11427252,-0.11427252,,
84,0.405090064,0.071299061,-0.071299061,0.114210129,-0.114210129,,
85,0.403191447,0.071573406,-0.071573406,0.114694133,-0.114694133,,
86,0.408510596,0.071613908,-0.071613908,0.114594854,-0.114594854,,
87,0.402341664,0.072059572,-0.072059572,0.115250185,-0.115250185,,
88,0.398724049,0.072552398,-0.072552398,0.116232216,-0.116232216,,
89,0.403191447,0.072422534,-0.072422534,0.115752921,-0.115752921,,
90,0.404648662,0.072030269,-0.072030269,0.115081109,-0.115081109,,
91,0.409066916,0.071474038,-0.071474038,0.114035659,-0.114035659,,
92,0.416886479,0.071050115,-0.071050115,0.11312253,-0.11312253,,
93,0.410337508,0.071492925,-0.071492925,0.114334084,-0.114334084,,
94,0.402945787,0.072256885,-0.072256885,0.115727052,-0.115727052,,
95,0.414634109,0.071232416,-0.071232416,0.113514483,-0.113514483,,
96,0.412916839,0.071029693,-0.071029693,0.113171972,-0.113171972,,
97,0.411640197,0.071221009,-0.071221009,0.113363296,-0.113363296,,
98,0.414595395,0.071072318,-0.071072318,0.113144711,-0.113144711,,
99,0.410121202,0.071302071,-0.071302071,0.113793798,-0.113793798,,
